Conference Acronym	Conference Name	Conference Location	ResearchArea
APWeb-WAIM 2023	The Asia Pacific Web (APWeb) and Web-Age Information Management (WAIM) Join Intermational Conference on Web and Big Data (APWeb-WAIM)	Wuhan, China	BigData
Berkeley Innovation  2023	Berkeley Financial Innovation Conference	Haas School of Business	BigData
DS 2023	Discovery Science 2023	Porto, Portugal	BigData
BDET--Ei 2023	2023 5th International Conference on Big Data Engineering and Technology (BDET 2023)	Singapore	BigData
ICISPC--Ei 2023	2023 7th International Conference on Imaging, Signal Processing and Communications (ICISPC 2023)	Kumamoto, Japan	BigData
ISMVI 2023	The 6th International Statistical Conference (ISMVI-2023)	Concorde Hotel, Shah Alam, Selangor, MAL	BigData
IEEE BDAI 2023	IEEE--2023 6th International Conference on Big Data and Artificial Intelligence (BDAI 2023)	Jiaxing, Zhejiang, China	BigData
ACM BIOTC 2023	ACM--2023 5th Blockchain and Internet of Things Conference (BIOTC 2023)	Osaka, Japan	BigData
Digital Twin 2023	The 2023 IEEE International Conference on Digital Twin (Digital Twin 2023)	Portsmouth	BigData
ICCCI--EI 2023	2023 The 5th International Conference on Computer Communication and the Internet (ICCCI 2023)	Fujisawa, Japan	BigData
ITAS 2023	2023 Information Technology & Applications Symposium (ITAS 2023)	Fujisawa, Japan	BigData
CLUSTER 2023	cluster 2023 : IEEE Cluster Conference	Santa Fe, New Mexico, US	BigData
MADEISD 2023	5th Workshop on Modern Approaches in Data Engineering and Information System Design	Barcelona, Spain	BigData
ICDPA--Ei 2023	2023 The 9th International Conference on Data Processing and Applications (ICDPA 2023)	Singapore	BigData
ICITS 2023	2023 The 11th International Conference on Information Technology and Science (ICITS 2023)	Singapore	BigData
SI BDAaTiCI 2023	Special Issue on Big Data Applications and Techniques in Cyber Intelligence	N/A	BigData
IEEE BigDataService  2023	The 9th IEEE International Conference on Big Data Computing Service and Machine Learning Applications	Athens, Greece	BigData
IEEE 2023	Big Data IEEE 2023	Athens	BigData
JCC-BD&ET 2023	[Deadline extension] 11th JCC-BD&ET 2023 -- Springer CCIS (Ei Compendex & Scopus) -- No APC	La Plata, Argentina	BigData
AISI 2023	9th International Conference on Advanced Intelligent Systems and Informatics	Port Said, Egypt	BigData
DBB 2023	The 4th Joint International Conference on Deep Learning, Big Data and Blockchain	Marrakech, Morocco	BigData
FiCloud  2023	The 10th International Conference on Future Internet of Things and Cloud 	Marrakech, Morocco	BigData
BECS 2023	3rd International Workshop on Big data driven Edge Cloud Services	Alicante, Spain	BigData
ICBDE 2023	2023 The 6th International Conference on Big Data and Education (ICBDE 2023)	Jinan, China	BigData
ICDAM 2023	4th International Conference on Data Analytics and Management	London, United Kingdom	BigData
IEEE COINS 2023	IEEE COINS 2023 - Berlin, Germany - July 23-25 - Hybrid (In-Person & Virtual) | Artificial Intelligence, Internet of Things (IoT), Blockchain, Big Data, Machine Learning	Hybrid Event (Berlin, Germany | Virtual)	BigData
Call for Papers 2023	IEEE MobileCloud 2023 2023 : IEEE MobileCloud 2023 : The 11th IEEE International Conference on Mobile Cloud Computing, Services and Engineering	Greece, Athens	BigData
IEEE CISOSE 2023	IEEE International Congress on Intelligent and Service-Oriented Systems Engineering	Athens, Greece	BigData
SocialSec 2023	The 9th International Symposium on Security and Privacy in Social Networks and Big Data	CANTERBURY, UK  	BigData
ACM ICISDM 2023	ACM--2023 7th International Conference on Information System and Data Mining (ICISDM 2023)	Atlanta, GA, USA	BigData
DeLTA 2023	4th International Conference on Deep Learning Theory and Applications	Lisbon, Portugal	BigData
DEBS 2023	17th ACM International Conference on Distributed and Event-Based Systems	Neuchatel, Switzerland	BigData
MEDES 2023	the 15th International Conference on Management of Digital EcoSystems	Heraklion, Crete, Greece	BigData
MEDES 2023	The 15th International Conference on Management of Digital EcoSystems	Heraklion, Crete, Greece	BigData
CARMA 2023	5th International Conference on Advanced Research Methods and Analytics. Internet and Big Data in Economics and Social Sciences	Seville, Spain	BigData
ICDICI 2023	4th International Conference on Data Intelligence and Cognitive Informatics	Tirunelveli, India	BigData
InMed 2023	11th International Conference on Innovation in Medicine & Healthcare	Rome, Italy	BigData
BDMH 2023	Big Data Management for Healthcare	N/A	BigData
miproBIS  2023	CfP:miproBIS - Business Intelligence Systems 	Opatija, Croatia	BigData
bbuzz 2023	Berlin Buzzwords 2023	Berlin, Germany	BigData
IEEE SDS 2023	Call for Papers - IEEE Swiss Conference on Data Science - Scientific Track	Zurich, Switzerland	BigData
IEEE SIST 2023	IEEE International Conference on Smart Information Systems and Technologies	Astana, Kazakhstan	BigData
CAAW 2023	The 2nd International Cryptoasset Analytics Workshop	Austin, Texas, USA	BigData
NIAI 2023	4th International Conference on Natural Language Processing, Information Retrieval and AI	Dubai, UAE	BigData
SAIDD 2023	Symposium on AI, Data and Digitalization	Sogndal, Norway	BigData
SI PMABD 2023	Special Issue on Programming Models and Algorithms for Big Data	N/A	BigData
ETTIS 2023	3rd International Conference on Emerging Trends and Technologies on Intelligent Systems	New Delhi, India	BigData
Broad Connection Analytics 2023	Special Issue on Broad Connection Analytics	N/A	BigData
MegaData  2023	The Third International Workshop on Advanced Data Systems Management, Engineering, and Analytics (MegaData)	Bangalore, India	BigData
SCSN 2023	The 11th IEEE International Workshop on Semantic Computing for Social Networks and Organization Sciences: from user information to social knowledge	Laguna Hills, CA, USA (Hybrid)	BigData
IIoTBDSC 2022	Electronics MDPI Special Issue- Advances in Industrial IoT, Big Data and Supply Chain for IIoTBDSC	N/A	BigData
ICCIS 2022	4th International Conference on  Communication and Intelligent Systems ICCIS 2022	National Institute of Technology Delhi	BigData
IWBDR 2022	International Workshop on Big Data Reduction held with 2022 IEEE International Conference on Big Data	Virtual	BigData
BigGraphs 2022	BigGraphs 2022 : International Workshop on High Performance Big Graph Data Management, Analysis, and Mining (BigGraphs)	Osaka, Japan	BigData
KMICe 2023	11th Knowledge Management International Conference (KMICe 2023)	Putrajaya	BigData
CCDC 2023	35th Chinese Control and Decision Conference	Yichang, China	BigData
Big Data in the Cloud 2023	Frontier Journal on Processing and Storing Medical Big Data in the Cloud	N/A	BigData
BPOD 2022	The Sixth IEEE International Workshop on Benchmarking, Performance Tuning and Optimization for Big Data Applications	Virtual	BigData
BDSN  2022	The 10th International workshop on Big Data and Social Networking Management and Security	Milan, Italy	BigData
DSEA 2022	The 6th International Workshop on Data Science Engineering and its Applications	Milan, Italy	BigData
OSNT 2022	The 8th International Workshop on Online Social Networks Technologies	Milan, Italy	BigData
ACM SAC 2023 CC Track 2023	ACM SAC 2023 Track on Cloud Computing	Tallinn, Estonia 	BigData
ACM SAC 2023 CC Track 2023	ACM SAC 2023 Track on Cloud Computing	Tallinn, Estonia 	BigData
BTSD 2022	The 4th International Workshop on Big Data Tools, Methods, and Use Cases for Innovative Scientific Discovery (BTSD) 2022	Virtual	BigData
EAI BDTA 2022	12th EAI International Conference on Big Data Technologies and Applications	Cairo, Egypt	BigData
EAI BCBE  2022	EAI International Conference on Block chain, cloud computing and big data with education	Wuxi, People's Republic of China	BigData
EAI BDCC 2022	5th EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing	Coimbatore, India	BigData
SNAMS 2022	The 9th International Conference on Social Networks Analysis, Management and Security	Milan, Italy	BigData
CSCT 2022	Congress on Smart Computing Technologies	South Asian University, India 	BigData
ICSC 2023	IEEE International Conference on Semantic Computing	Laguna Hills, CA	BigData
SCDM 2022	Scalable Cloud Data Management Workshop	Osaka, Japan	BigData
ICSESS 2022	2022 13th International Conference on Software Engineering and Service Science 	Beijing,China	BigData
EuroSymposium 2022	The XIVth EuroSymposium on Digital Transformation, 2022, University of Gdansk, Poland (videoconference, hybrid)	Videoconference (Sopot, Poland)	BigData
BigMM 2022	IEEE International Conference on Multimedia Big Data	Naples, Italy	BigData
ISM 2022	IEEE International Symposium on Multimedia 	Naples, Italy	BigData
ICCT 2023	3rd International Conference on Intelligent Communication and Computational Techniques 	Jaipur, India	BigData
Intel4EC 2022	International Workshop on Intelligent and Adaptive Edge-Cloud Operations and Services collocated with IEEE/ACM Conference on Utility and Cloud Computing (UCC 2022)	Portland, Oregon, USA	BigData
BDCAT 2022	9th IEEE/ACM International Conference on Big Data Computing, Applications and Technologies	Portland, Oregon, USA	BigData
ICITS 2023	6th International Conference on Information Technology and Systems	Cusco, Peru	BigData
IEEE BigData 2022	2022 IEEE International Conference on Big Data	Osaka, Japan	BigData
ICDMAI 2023	7th International Conference on Data Management, Analytics and Innovation	Pune, India	BigData
DMBD 2022	The Seventh International Conference on Data Mining and Big Data	Beijing	BigData
DMBD 2022	The Seventh International Conference on Data Mining and Big Data	Beijing, China	BigData
DMBD 2022	7th International Conference on Data Mining and Big Data 	Beijing, China	BigData
DMBD 2022	DMBD'2022: Call for Special Session Proposals & Call for Papers 	Beijing,China	BigData
ABCSS 2022	The 7th International Workshop on Application of Big Data for Computational Social Science	Niagara Falls, Canada	BigData
FAB  2022	The 2022 International Symposium on Foundations and Applications of Big Data Analytics	Turkey	BigData
ICTC 2022	Extended Deadline (Firm Deadline):Â Aug. 22 (Hybrid: Virtual & In Person,Â Jeju Island, South Korea)  - The 13th International Conference on ICT Convergence - 	Jeju Island, South Korea	BigData
AIBDCA 2022	2022 International Conference on Artificial Intelligence, Big Data and Computer Applications	Huanggang, China	BigData
CBD  2022	2022 The Tenth International Conference on Advanced Cloud and Big Data	Guilin, China	BigData
DRBSD 2022	International Workshop on Data Analysis and Reduction for Big Scientific Data	Dallas, TX	BigData
IIoTBDSC 2022	The 3rd International Conference on Industrial IoT, Big Data and Supply Chain	Beijing and Online (hybrid)	BigData
IDEAL 2022	23rd International Conference on Intelligent Data Engineering and Automated Learning	Manchester UK (hybrid)	BigData
ACDL 2022	5th Online & Onsite Advanced Course on Data Science & Machine Learning	Certosa di Pontignano	BigData
ICAISE 2022	The 4th International Conference on Artificial Intelligence and Smart  Environment	Errachidia, MOROCCO	BigData
PAAP 2022	The 13th International Symposium on Parallel Architectures, Algorithms and Programming	Beijing, China	BigData
BDL 2022	 Workshop on Big Data & Deep Learning in High Performance Computing	Bordeaux	BigData
XLOOP 2022	4th Annual Workshop on Extreme-scale Experiment-in-the-Loop Computing	Dallas, TX	BigData
MEDES 2022	The 14th International Conference on Management of Digital EcoSystems	Venice, Italy	BigData
MICARE 2022	MULTIMEDIA CONTENT ANALYSIS AND REPRESENTATION	Rabat	BigData
EAI IoTCare  2022	3rd EAI International Conference on IoT and Big Data Technologies for HealthCare	Leicester, Great Britain	BigData
IEEE BigDataSE 2022	The 16th IEEE International Conference on Big Data Science and Engineering	Wuhan China	BigData
IEEE CSE  2022	The 25th IEEE International Conference on Computational Science and Engineering	Wuhan, China	BigData
IWBIS 2022	IWBIS 2022 : THE 7TH INTERNATIONAL WORKSHOP ON BIG DATA AND INFORMATION SECURITY	Jakarta, Indonesia	BigData
IDSTA 2022	The IEEE International Conference on Intelligent Data Science Technologies and Applications	San Antonio, USA	BigData
AIKE 2022	IEEE Artificial Intelligence & Knowledge Engineering 	Laguna Hills, CA	BigData
IEEE SSCI 2022	2022 IEEE Symposium Series on Computational Intelligence	Singapore	BigData
AI4I 2022	5th International Conference on Artificial Intelligence for Industries	Laguna Hills, California, USA	BigData
TransAI 2022	IEEE International Conference on Transdisciplinary AI	Laguna Hills, CA	BigData
GC 2022	Graph Computing	Laguna Hills, CA	BigData
IEEE CSDE 2022	9th IEEE Asia-Pacific Conference on Computer Science and Data Engineering	Gold Coast, Queensland, Australia	BigData
WITCOM  2022	Virtual & Hybrid 11th Conference in Telematics and Computing , WITCOM	Virtual & Hybrid  	BigData
MSSD 2022	Making Sense of Stream Data - special issue of the Journal of Web Semantics	N/A	BigData
BCCA 2022	The 4th IEEE International Conference on Blockchain Computing and Applications	San Antonio, USA	BigData
BDIoT 2022	6th International Conference On Big Data and Internet of Things - Hybrid	Tangier	BigData
CIKM 2022	Call for Applied Research Papers (CIKM 2022)	Atlanta, Georgia, USA	BigData
BDNT 2022	8th International workshop on Big Data and Networks Technologies (BDNT 2022)	Ontario, Canada	BigData
BECS 2022	2nd International Workshop on Big data driven Edge Cloud Services	Bari, Italy	BigData
IEEEBDS 2022	IEEE BIG DATA SERVICE 2022	San Francisco Bay Area	BigData
DBB   2022	The 3rd International Conference on Deep Learning, Big Data and Blockchain	Rome, Italy	BigData
BECS 2022	2nd International Workshop on Big data driven Edge Cloud Services	Bari, Italy	BigData
FICTA 2022	10th International Conference on Frontiers of Intelligent Computing: Theory and Applications	Aizawl, Mizoram, India	BigData
ICDPCS 2022	1st International Conference on Data Processing, Control and Simulation	Wuhan, China	BigData
IIoTBDSC-SP 2022	Special Issue Selected Papers from the 2nd International Conference on Industrial IoT, Big Data and Supply Chain	N/A	BigData
ESDPS  2022	IEEE Smart Data Workshop on Emerging Smart Data Applications in New Power Systems	Espoo, Finland	BigData
JCC-BD&ET 2022	[Deadline extended] JCC-BD&ET 2022: 10th Conference on Cloud Computing, Big Data & Emerging Topics --Springer CCIS (Ei Compendex & Scopus)	La Plata, Argentina	BigData
APWeb-WAIM 2022	The 6th APWeb-WAIM International Joint Conference on Web and Big Data	Nanjing, China	BigData
ENHANCE 2022	Enabling Technologies and Dependability in Cyber-Physical Systems	Budapest, Hungary	BigData
SIU - Special Session on CSS 2022	30th IEEE Conference on Signal Processing and Communication Applications (SIU 2022) Special Session on 'Computational Social Science'	Safranbolu Turkey	BigData
APWeb-WAIM 2022	The 6th APWeb-WAIM International Joint Conference on Web and Big Data	Nanjing, China	BigData
APWeb-WAIM 2022	The 6th APWeb-WAIM International Joint Conference on Web and Big Data	Nanjing, China	BigData
SEBD 2022	30th Symposium on Advanced Database Systems	Tirrenia, Pisa (Tuscany), Italy	BigData
IRS-Frontiers 2022	Frontiers in Big Data - Industrial Recommender Systems	N/A	BigData
BigTMS&AI@ICCCI  2022	Special Session on Big Text Mining Searching & Artificial Intelligence @ICCCI  	TUNISIA	BigData
DATA 2022	11th International Conference on Data Science, Technology and Applications	Lisbon, Portugal	BigData
ITAIC 2022	10th IEEE Joint International Information Technology and Artificial Intelligence Conference	Chongqing, China	BigData
CCGrid-Life  2022	Workshop on Clusters, Clouds and Grids for Life Sciences	Taormina - Sicily - Italy	BigData
SMDB 2022	The 13th International Workshop on Self-Managing Database Systems (SMDB 2022)	Kuala Lumpur, Malaysia (or Online)	BigData
ALLDATA 2022	8th International Conference on Big Data, Small Data, Linked Data and Open Data	Barcelona, Spain	BigData
IFCS 2022	Classification and Data Science in the Digital Age	Porto, Portugal	BigData
IFCS 2022	Classification and Data Science in the Digital Age	Porto, Portugal	BigData
IFCS 2022	Classification and Data Science in the Digital Age	Portugal	BigData
CMSBD2021	2021 International Conference on Computer Modeling, Simulation and Big Data (CMSBD2021)	Shenzhen, China	BigData
BDIoT 2021	5th International Conference on Big Data and Internet of Things - BDIoTâ21	Rabat - Morocco	BigData
JoGC DSSIA 2021	J of Grid Computing (Q1): Decision Support Systems and Intelligent Algorithms for Industrial IoT and Big Data	N/A	BigData
Privacy 2021	The 2021 International Symposium on Privacy, Security and Smart Cities	Newcastle upon Tyne, UK	BigData
IWSMAI -  2022	The 3rd International Workshop on Statistical Methods and Artificial Intelligence	Porto	BigData
IWBDR 2021	International Workshop on Big Data Reduction held with 2021 IEEE International Conference on Big Data	virtual	BigData
SCDM 2021	SCDM 2021 : Scalable Cloud Data Management Workshop	Remote (orig. Orlando, FL/USA)	BigData
HPBD&IS 2021	3rd International Conference on High Performance Big Data and Intelligent Systems	Macau, China	BigData
LegalAI 2021	LegalAI 2021 : The Fifth Annual Workshop on Applications of Artificial Intelligence in the Legal Industry	Virtual	BigData
ICFIC 2021	2021 International Conference on Future Intelligent Computing	Daegu University, Korea	BigData
IEEE Big Data - BPOD 2021	The Fifth IEEE International Workshop on Benchmarking, Performance Tuning and Optimization for Big Data Applications	virtual	BigData
IEEE Big Data - BDA COVID 2021	 IEEE Big Data Workshop for COVID-19	Online	BigData
KG@SAC 2022	ACM SAC 2022 Track on Knowledge Graphs	Brno, Czech Republic	BigData
ICACCI 2021	11th International Conference on Advanced Computing, Communication and Information Science	Busan, South Korea	BigData
OSNT 2021	The 7th International Workshop on Online Social Networks Technologies	Gandia, Spain	BigData
ANLP 2021	The 5th International Workshop on Advances in Natural Language Processing	Gandia, Spain	BigData
SCICE 2021	The International Workshop on Smart Community with IoT, Cloud, and Edge Computing	Gandia, Spain	BigData
EAI BDCC 2021	4th EAI International Conference on Big Data Innovation for Sustainable Cognitive Computing (Springer, Scopus, Ei Compendex, more)	Coimbatore, India	BigData
BDSN 2021	The 9th International workshop on Big Data and Social Networking Management and Security	Gandia, Spain	BigData
DSEA 2021	The 5th International Workshop on Data Science Engineering and its Applications	Gandia, Spain	BigData
U2BigData 2021	The 2nd User Understanding from Big Data Workshop - in conjunction with IEEE Big Data 2021	Virtually	BigData
IEEE HMData 2021	IEEE HMData 2021: Fifth IEEE Workshop on Human-in-the-Loop Methods and Future of Work in BigData	Online	BigData
ICCIC 2021	International Conference on Cognitive and Intelligent Computing	Hyderabad, India	BigData
SDM 2022	SIAM International Conference on Data Mining	Alexandria, Virginia, USA	BigData
SweDS 2021	The 9th Swedish Workshop on Data Science	Online	BigData
BFNDMA 2021	BIG FOOD, NUTRITION AND ENVIRONMENT DATA MANAGEMENT AND ANALYSIS @ IEEE BigData 2021	Virtual	BigData
BTSD 2021	The 3rd International Workshop on Big Data Tools, Methods, and Use Cases for Innovative Scientific Discovery (BTSD) 2021	Virtual	BigData
IJDL Special Issue 2022	International Journal on Digital Libraries - Special Issue The Changing Role of Scientific Digital Libraries in the Big Data Era	N/A	BigData
SITAIBA 2021	SITAIBA 2021 : 2021 International Conference on Security and Information Technologies with AI, Internet Computing and Big-data Applications	Taichung City, TAIWAN	BigData
ABCSS 2021	The 6th International Workshop on Application of Big Data for Computational Social Science	Melbourne, Australia	BigData
IoMT-CAS 2021	The Internet of Multimedia Things, Communications, Applications, and Security	Tartu, Estonia	BigData
IIoTBDSC 2021	The 2nd International Conference on Industrial IoT, Big Data and Supply Chain (IIoTBDSC 2021) 	Macao, SAR of China and online	BigData
CPS-BigData 2021	 The 3rd IEEE International Workshop on Application of Big Data Analytics to Cyber-Physical Systems 	virtual	BigData
IEEE BigData 2021	2021 IEEE International Conference on Big Data	Virtual-only	BigData
EAI BDTA (virtual) 2021	11th EAI International Conference on Big Data Technologies and Applications (Springer, Scopus, Web of Science, Ei, more)	Cyberspace	BigData
SSDS 2021	6th Int'l Summer School on Data Science	online	BigData
JDSA 2021	International Journal of Data Science and Analytics, Special Issue on Mobile and Big Data Services on the Edge and the Cloud	N/A	BigData
IEEE SSCI 2021	2021 IEEE Symposium Series on Computational Intelligence	Orlando, Florida, USA	BigData
ML_BDA 2021	Special Issue on Machine Learning Technologies for Big Data Analytics	N/A	BigData
BigMM 2021	IEEE International Conference on Multimedia Big Data 2021	Taichung, Taiwan	BigData
IEEE CCEM 2021	The Tenth IEEE International Conference on Cloud Computing in Emerging Markets (CCEM), 27th - 30th October 2021, New Jersey, USA	NEW JERSY, USA	BigData
Bench 2021	2021 BenchCouncil International Symposium on Benchmarking, Measuring and Optimizing	Virtual Conference	BigData
IDEAL 2021	Intelligent Data Engineering and Automated Learning	Manchester (virtual)	BigData
ICTAI 2021	33rd International Conference on Tools with Artificial Intellignce	Virtual Conference	BigData
PoEM 2021	The Practice of Enterprise Modeling	Riga	BigData
ICSESS 2021	2021 12th International Conference on Software Engineering and Service Science 	Beijing,China	BigData
HPBD 2021	Workshop on High-Performance and Reliable Big Data	Chicago, USA	BigData
ai4i 2021	Artificial Intelligence for Industries (ai4i 2021)	Laguna Hills, California, USA	BigData
WITCOM  2021	VIRTUAL 10th Conference in Computing and Telematics	Virtual	BigData
CSoNet  2021	CSoNet 2021 Call for Papers	Montreal, Quebec, Canada	BigData
CBD 2021	The Ninth International Conference on Advanced Cloud and Big Data	Xi'an, China	BigData
Call for Book Chapter  2021	Blockchain and Deep Learning - Future Trends and   Enabling Technologies	Book Chapter	BigData
EAI IoTCare 2021	2nd EAI International Conference on IoT and Big Data Technologies for HealthCare	Leicester, Great Britain	BigData
ScalComm 2021	The 21st IEEE International Conference on Scalable Computing and Communications	Atlanta	BigData
IIWAS 2021	The 23rd International Conference on Information Integration and Web-based Applications & Services 	virtual conferences 	BigData
MEDES 2021	The 13th International ACM Conference on Management of Digital EcoSystems 	Hammamet - Tunisia	BigData
MEDES 2021	The 13th International Conference on Management of Digital EcoSystems	Hammamet - Tunisia	BigData
IEEE COINS 2021	International Conference on Omni-Layer Intelligent Systems Internet of Things IoT | Artificial Intelligence | Machine Learning | Big Data | Blockchain | Edge & Cloud Computing	Barcelona, Spain	BigData
IEEE COINS 2021	IEEE COINS | IoT , AI, and Big Data for Healthcare Track	Barcelona, Spain	BigData
IEEE COINS 2021	AI ML Big Data Vision Track | Artificial Intelligence | Machine Learning | Deep Learning | Machine Vision | Big Data Analytics | Video Analytics	Barcelona, Spain	BigData
CLUSTER 2021	23rd IEEE Cluster Conference	Portland, Oregon, USA	BigData
DaWaK 2021	The 23rd International Conference on Big Data Analytics and Knowledge Discovery	Linz, Austria (Virtual)	BigData
CFP for IEEE Big Data Service  2021	The 7th IEEE International Conference on Big Data Computing Service and Machine Learning Applications	virtual	BigData
EAI BigIoT-EDU (virtual) 2021	EAI International Conference on Application of Big Data, Blockchain, and Internet of Things for Education Informatization (online conference)	N/A, Cyberspace	BigData
BigData 2021	IEEE International Conference on Big Data 2021 Data Challenges	Orlando, FL	BigData
DS4CS 2021	IEEE CSR Workshop on Data Science for Cyber Security	Virtual Workshop	BigData
FiCloud 2021	The 8th International Conference on Future Internet of Things and Cloud	Virtual (Online)	BigData
DEEP-BDB  2021	The 2nd International Conference on Deep Learning, Big Data and Blockchain	Virtual (Online)	BigData
JCC-BD&ET 2021	9th Conference on Cloud Computing, Big Data & Emerging Topics--Springer CCIS (Ei Compendex & Scopus)	La Plata, Argentina	BigData
MegaData 2021	International Workshop on Advanced Data Systems Management, Engineering, and Analytics	Tartu, Estonia	BigData
SNTA 2021	The Fourth International Workshop on Systems and Network Telemetry and Analytics (SNTA 2021)	Virtual (in conjunction with ACM HPDC)	BigData
FDSS 2021	The International Workshop on Future Data Science Systems	Valencia - Spain	BigData
 BlockSys 2021	2021 International Conference on Blockchain and Trustworthy Systems	China	BigData
ICUIA 2021	International Conference on Urban Intelligence and Applications 2021	Hefei, China	BigData
Data Love 2021	Data Love	online	BigData
MESS 2020	Metaheuristics Summer School 2020+1 :: Learning & Optimization from Big Data	Catania, Italy	BigData
SMC 2021	 Smoky Mountains Computational Sciences & Engineering Conference 2021	Oak Ridge, TN	BigData
EAI eLEOT  2021	7th EAI International Conference on e-Learning e-Education and Online Training	Xinxiang, PRC	BigData
ICWE Workshops 2021	ICWE 2021 - Workshops Joint Call for Papers	Biarritz, France	BigData
KDWEB  2021	Seventh International Workshop on Knowledge Discovery on the Web	Biarritz, France	BigData
ITISE 2021	7th International Conference on Time Series and Forecasting (ITISE 2021)	Gran Canaria, Spain	BigData
ICDSA 2021	2nd International Conference on Data Science and Applications	Kolkata, India	BigData
IEEE HPSC 2021	7th IEEE International Conference on High Performance and Smart Computing	New York, USA	BigData
Auto-DaSP 2021	International Workshop on Autonomic Solutions for Parallel and Distributed Data Stream Processing	Rennes, France (probably online)	BigData
ICDM 2023	23th Industrial Conference on Data Mining	New York, USA	BigData
ICDM 2021	21th Industrial Conference on Data Mining 	New York, USA	BigData
HCIS 2021	14th International Conference on Human Centred Intelligent Systems 	Virtual Conference	BigData
SIMPLIFY 2021	1st International Workshop on Data Analytics and Machine Learning Made Simple	Nicosia, Cyprus	BigData
BMDA 2021	Big Mobility Data Analytics	Cyprus	BigData
RDAAPS 2021	Reconciling Data Analytics, Automation, Privacy, and Security: A Big Data Challenge	McMaster University, Hamilton ON, Canada	BigData
SCSN 2021	The 9th IEEE International Workshop on Semantic Computing for Social Networks and Organization Sciences: from user information to social knowledge	Virtual	BigData
PAKDD 2021	Pacific-Asia Conference on Knowledge Discovery and Data Mining	Delhi, India	BigData
ESPR-IoTBD 2020	Applied Sciences (Q2), Enterprise Security, Privacy and Risk for Internet of Things and Big Data (ESPR-IoTBD)	N/A	BigData
BDSN 2020	The 8th International workshop on Big Data and Social Networking Management and Security	Paris, France	BigData
OSNT 2020	The Fifth International Workshop on Online Social Networks Technologies	Paris, France	BigData
EAI BDTA 2020	(Virtual) 10th EAI International Conference on Big Data Technologies and Applications	Wuhan, People's Republic of China	BigData
ICMV 2023	SPIE--2023 The 16th International Conference on Machine Vision (ICMV 2023)	Yerevan, Armenia	AI
ICMIT 2024	2024 the 10th International Conference on Manufacturing and Industrial Technologies (ICMIT 2024)	Budapest, Hungary	AI
ICMCR 2024	2024 2nd International Conference on Mechatronics, Control and Robotics (ICMCR 2024)	Jeju, South Korea	AI
ACM CIIS 2023	ACM--2023 The 6th International Conference on Computational Intelligence and Intelligent Systems (CIIS 2023)	Tokyo, Japan	AI
MCVR 2023	2023 International Conference on Medical Computer Vision and Robotics (MCVR 2023)	Ningbo, China	AI
ICSIM 2024	ACM--2024 The 7th International Conference on Software Engineering and Information Management (ICSIM 2024)	SuVa, Fiji	AI
ICMRE 2024	IEEE--2024 The 10th International Conference on Mechatronics and Robotics Engineering (ICMRE 2024)	Milan, Italy	AI
ICMCE 2024	2024 the 12th International Conference on Mechatronics and Control Engineering (ICMCE 2024)	Budapest, Hungary	AI
AEIC--Ei 2024	2024 The International Conference on Automation Engineering and Intelligent Control (AEIC 2024)	Milan, Italy	AI
ARIA 2023	10th International Conference on Artificial Intelligence & Applications	Vienna, Austria	AI
NMOCT  2023	9th International Conference on Networks, Mobile Communications and Telematics	Sydney, Australia	AI
SCAI 2023	12th International Conference on Soft Computing, Artificial Intelligence and Applications	Sydney, Australia	AI
MATHCS 2023	International Conference on Mathematics, Computer Science & Engineering 	Virtual Conference	AI
AI 2023	9th International Conference on Artificial Intelligence and Applications	Sydney, Australia	AI
COMSAP 2023	International Conference on Computational Science & Applications	Virtual Conference	AI
SIGI 2023	9th International Conference on Signal and Image Processing	Sydney, Australia	AI
ACII 2023	Advanced Computational Intelligence: An International Journal	N/A	AI
NeTIOT 2023	4th International Conference on Networks & IOT	 Dubai, UAE	AI
BIOM 2023	3rd International Conference on Big Data, IoT and Machine Learning  	Zurich, Switzerland	AI
ACINT 2023	International Conference on Advanced Computational Intelligence	Virtual Conference	AI
SEAU 2023	2nd International Conference on Software Engineering and Automation	Dubai, UAE	AI
IJASUC 2023	International Journal of Ad hoc, Sensor & Ubiquitous Computing	N/A	AI
IJITCA 2023	International Journal of Information Technology, Control and Automation	N/A	AI
IBCOM 2023	4th International Conference on IoT, Blockchain & Cloud Computing	Sydney, Australia	AI
SIPIJ 2023	Signal & Image Processing : An International Journal - WJCI Listed, H index - 33	N/A	AI
AICiViL 2023	International Conference on AI & Civil Engineering	Virtual Conference	AI
MLDS 2023	4th International Conference on Machine Learning Techniques and Data Science	Sydney, Australia	AI
ITEORY  2023	International Conference on Information Theory and Machine Learning	Virtual Conference	AI
CNDC 2023	10th International Conference on Computer Networks & Data Communications 	London, United Kingdom	AI
NLAI 2023	4th International Conference on NLP & Artificial Intelligence Techniques	Sydney, Australia	AI
IJCSIT 2023	International Journal of Computer Science and Information Technology - h-index 54	N/A	AI
UBIC 2023	14th International Conference on Ubiquitous Computing	Sydney, Australia	AI
AIMLNET  2023	3rd International conference on AI, Machine Learning in Communications and Networks	Sydney, Australia	AI
IJASSN 2023	International Journal of Advanced Smart Sensor Network Systems	N/A	AI
AISO 2023	9th International Conference on Artificial Intelligence and Soft Computing	Zurich, Switzerland	AI
WeST 2023	15th International Conference on Web services & Semantic Technology	London, United Kingdom	AI
